2024-08-05 08:20:30,132; INFO; b4; [supR4Mesa_GiratoriaRobo: S4_S0_S1 -> S5_S0_S0]
2024-08-05 08:20:30,132; INFO; b4; [supR7Mesa_GiratoriaTesteRobo: S6_S0_S0_S1 -> S6_S0_S0_S0]
2024-08-05 08:20:30,133; INFO; a0; [supEsteiraMesa_GiratoriaR1: S0_S0_S0 -> S0_S1_S1]
2024-08-05 08:20:30,133; INFO; a0; [supR2Mesa_GiratoriaFuradeira: S0_S0_S0 -> S1_S1_S0]
2024-08-05 08:20:30,133; INFO; a0; [supR3Mesa_GiratoriaTeste: S0_S0_S0 -> S1_S1_S0]
2024-08-05 08:20:30,133; INFO; a0; [supR4Mesa_GiratoriaRobo: S5_S0_S0 -> S4_S1_S0]
2024-08-05 08:20:30,134; INFO; a0; [supR5EsteiraMesa_GiratoriaFuradeira: S5_S0_S0_S0 -> S2_S0_S1_S0]
2024-08-05 08:20:30,134; INFO; a0; [supR6Mesa_GiratoriaFuradeiraTeste: S5_S0_S0_S0 -> S2_S1_S0_S0]
2024-08-05 08:20:30,134; INFO; a0; [supR7Mesa_GiratoriaTesteRobo: S6_S0_S0_S0 -> S6_S1_S0_S0]
2024-08-05 08:20:30,134; INFO; a0; [supR8EsteiraMesa_GiratoriaFuradeiraTeste: S1_S0_S0_S0_S0 -> S0_S0_S1_S0_S0]
2024-08-05 08:20:32,388; INFO; se; [supR0EsteiraSensor: S0_S0_S0 -> S1_S0_S0]
2024-08-05 08:20:33,413; INFO; b0; [supEsteiraMesa_GiratoriaR1: S0_S1_S1 -> S0_S0_S0]
2024-08-05 08:20:33,413; INFO; b0; [supR2Mesa_GiratoriaFuradeira: S1_S1_S0 -> S0_S0_S0]
2024-08-05 08:20:33,413; INFO; b0; [supR3Mesa_GiratoriaTeste: S1_S1_S0 -> S0_S0_S0]
2024-08-05 08:20:33,414; INFO; b0; [supR4Mesa_GiratoriaRobo: S4_S1_S0 -> S5_S0_S0]
2024-08-05 08:20:33,414; INFO; b0; [supR5EsteiraMesa_GiratoriaFuradeira: S2_S0_S1_S0 -> S2_S0_S0_S0]
2024-08-05 08:20:33,414; INFO; b0; [supR6Mesa_GiratoriaFuradeiraTeste: S2_S1_S0_S0 -> S2_S0_S0_S0]
2024-08-05 08:20:33,414; INFO; b0; [supR7Mesa_GiratoriaTesteRobo: S6_S1_S0_S0 -> S6_S0_S0_S0]
2024-08-05 08:20:33,414; INFO; b0; [supR8EsteiraMesa_GiratoriaFuradeiraTeste: S0_S0_S1_S0_S0 -> S0_S0_S0_S0_S0]
2024-08-05 08:20:33,416; INFO; a1; [supR0EsteiraSensor: S1_S0_S0 -> S0_S1_S0]
2024-08-05 08:20:33,416; INFO; a1; [supEsteiraMesa_GiratoriaR1: S0_S0_S0 -> S1_S0_S1]
2024-08-05 08:20:33,416; INFO; a1; [supR5EsteiraMesa_GiratoriaFuradeira: S2_S0_S0_S0 -> S2_S1_S0_S0]
2024-08-05 08:20:33,417; INFO; a1; [supR8EsteiraMesa_GiratoriaFuradeiraTeste: S0_S0_S0_S0_S0 -> S0_S1_S0_S0_S0]
2024-08-05 08:20:33,420; INFO; a2; [supR2Mesa_GiratoriaFuradeira: S0_S0_S0 -> S1_S0_S1]
2024-08-05 08:20:33,421; INFO; a2; [supR5EsteiraMesa_GiratoriaFuradeira: S2_S1_S0_S0 -> S4_S1_S0_S1]
2024-08-05 08:20:33,421; INFO; a2; [supR6Mesa_GiratoriaFuradeiraTeste: S2_S0_S0_S0 -> S2_S0_S1_S0]
2024-08-05 08:20:33,421; INFO; a2; [supR8EsteiraMesa_GiratoriaFuradeiraTeste: S0_S1_S0_S0_S0 -> S0_S1_S0_S1_S0]
2024-08-05 08:20:33,423; INFO; a3; [supR3Mesa_GiratoriaTeste: S0_S0_S0 -> S1_S0_S1]
2024-08-05 08:20:33,423; INFO; a3; [supR6Mesa_GiratoriaFuradeiraTeste: S2_S0_S1_S0 -> S4_S0_S1_S1]
2024-08-05 08:20:33,423; INFO; a3; [supR7Mesa_GiratoriaTesteRobo: S6_S0_S0_S0 -> S6_S0_S1_S0]
2024-08-05 08:20:33,423; INFO; a3; [supR8EsteiraMesa_GiratoriaFuradeiraTeste: S0_S1_S0_S1_S0 -> S0_S1_S0_S1_S1]
2024-08-05 08:20:34,042; INFO; b2; [supR2Mesa_GiratoriaFuradeira: S1_S0_S1 -> S0_S0_S0]
2024-08-05 08:20:34,042; INFO; b2; [supR5EsteiraMesa_GiratoriaFuradeira: S4_S1_S0_S1 -> S4_S1_S0_S0]
2024-08-05 08:20:34,043; INFO; b2; [supR6Mesa_GiratoriaFuradeiraTeste: S4_S0_S1_S1 -> S5_S0_S0_S1]
2024-08-05 08:20:34,043; INFO; b2; [supR8EsteiraMesa_GiratoriaFuradeiraTeste: S0_S1_S0_S1_S1 -> S1_S1_S0_S0_S1]
2024-08-05 08:20:34,046; INFO; b3; [supR3Mesa_GiratoriaTeste: S1_S0_S1 -> S0_S0_S0]
2024-08-05 08:20:34,046; INFO; b3; [supR6Mesa_GiratoriaFuradeiraTeste: S5_S0_S0_S1 -> S5_S0_S0_S0]
2024-08-05 08:20:34,047; INFO; b3; [supR7Mesa_GiratoriaTesteRobo: S6_S0_S1_S0 -> S7_S0_S0_S0]
